"DateTime";"Final price";"Historical low"
"2013-01-16 18:27:12";26,99;26,99
"2013-03-21 17:28:02";14,99;14,99
"2013-07-18 17:28:28";7,49;7,49
"2013-07-20 17:48:20";14,99;7,49
"2013-07-25 15:54:08";29,99;7,49
"2013-08-29 17:15:15";10,2;7,49
"2013-09-02 19:44:11";29,99;7,49
"2013-09-20 11:44:10";19,99;7,49
"2013-10-24 17:49:30";6,79;6,79
"2013-10-26 19:47:48";19,99;6,79
"2013-11-27 18:23:17";6,79;6,79
"2013-11-28 12:51:21";19,99;6,79
"2013-11-29 19:21:54";4,99;4,99
"2013-12-01 18:30:40";6,79;4,99
"2013-12-02 04:55:30";19,99;4,99
"2013-12-19 20:27:48";6,79;4,99
"2013-12-23 12:39:28";19,99;4,99
"2013-12-26 10:27:28";4,99;4,99
"2013-12-26 19:29:28";6,79;4,99
"2013-12-26 19:40:54";19,99;4,99
"2013-12-29 18:30:40";4,99;4,99
"2013-12-31 19:25:29";6,79;4,99
"2014-01-02 18:56:35";19,99;4,99
"2014-03-02 18:30:18";9,99;4,99
"2014-03-04 18:28:20";19,99;4,99
"2014-04-06 17:19:03";3,99;3,99
"2014-04-07 11:51:03";19,99;3,99
"2014-05-26 17:18:04";18,49;3,99
"2014-06-02 17:16:17";36,99;3,99
"2014-06-03 04:31:28";19,99;3,99
"2014-06-19 19:03:03";4,99;3,99
"2014-06-20 09:17:05";2,99;2,99
"2014-06-20 18:43:05";4,99;2,99
"2014-06-21 00:16:07";19,99;2,99
"2014-09-30 17:15:02";6,79;2,99
"2014-10-04 01:12:03";19,99;2,99
"2014-11-14 02:04:02";6,8;2,99
"2014-11-26 19:22:03";4,99;2,99
"2014-11-27 20:37:36";4,99;2,99
"2014-11-27 20:37:36";4,99;2,99
"2014-11-28 18:18:18";2,99;2,99
"2014-11-28 18:18:18";2,99;2,99
"2014-11-30 18:02:11";4,99;2,99
"2014-12-01 08:00:04";4,99;2,99
"2014-12-02 18:27:06";19,99;2,99
"2014-12-02 18:27:06";19,99;2,99
"2014-12-05 08:40:04";14,99;2,99
"2014-12-05 08:40:04";14,99;2,99
"2014-12-10 18:05:08";19,99;2,99
"2014-12-10 18:05:08";19,99;2,99
"2014-12-18 18:46:46";2,99;2,99
"2014-12-18 18:46:46";2,99;2,99
"2014-12-20 18:16:40";4,99;2,99
"2014-12-20 18:16:40";4,99;2,99
"2014-12-31 18:06:20";2,99;2,99
"2014-12-31 18:06:20";2,99;2,99
"2015-01-02 18:28:25";19,99;2,99
"2015-01-02 18:28:25";19,99;2,99
"2015-04-27 17:05:52";9,99;2,99
"2015-04-27 17:05:52";9,99;2,99
"2015-05-04 17:05:21";19,99;2,99
"2015-05-04 17:05:21";19,99;2,99
"2015-05-27 17:30:06";19,99;2,99
"2015-05-27 17:30:06";19,99;2,99
"2015-06-11 18:47:33";6,79;2,99
"2015-06-11 18:47:33";6,79;2,99
"2015-06-17 17:05:34";3,99;2,99
"2015-06-17 17:05:34";3,99;2,99
"2015-06-19 17:05:14";6,79;2,99
"2015-06-19 17:05:14";6,79;2,99
"2015-06-20 17:07:00";3,99;2,99
"2015-06-20 17:07:00";3,99;2,99
"2015-06-22 17:51:55";19,99;2,99
"2015-06-22 17:51:55";19,99;2,99
"2015-07-30 17:05:37";6,79;2,99
"2015-07-30 17:05:37";6,79;2,99
"2015-08-03 17:05:25";19,99;2,99
"2015-08-03 17:05:25";19,99;2,99
"2015-09-21 17:07:15";19,59;2,99
"2015-09-21 17:07:15";19,59;2,99
"2015-09-28 17:06:04";19,99;2,99
"2015-09-28 17:06:04";19,99;2,99
"2015-10-26 17:05:36";9,99;2,99
"2015-10-26 17:05:36";9,99;2,99
"2015-11-02 17:05:54";19,99;2,99
"2015-11-02 17:05:54";19,99;2,99
"2015-11-05 15:45:45";19,99;2,99
"2015-11-05 15:45:45";19,99;2,99
"2015-11-05 15:55:45";19,99;2,99
"2015-11-05 16:05:44";19,99;2,99
"2015-11-05 16:25:40";19,99;2,99
"2015-11-05 16:40:50";19,99;2,99
"2015-11-05 17:00:47";19,99;2,99
"2015-11-25 18:18:44";3,99;2,99
"2015-11-25 18:18:44";3,99;2,99
"2015-12-01 18:30:21";19,99;2,99
"2015-12-01 18:30:21";19,99;2,99
"2015-12-22 19:16:32";3,99;2,99
"2015-12-22 19:16:32";3,99;2,99
"2016-01-04 18:52:46";19,99;2,99
"2016-01-04 18:52:46";19,99;2,99
"2016-02-05 18:32:17";9,99;2,99
"2016-02-05 18:32:17";9,99;2,99
"2016-02-12 18:39:44";19,99;2,99
"2016-02-12 18:39:44";19,99;2,99
"2016-05-06 17:10:55";17,49;2,99
"2016-05-08 17:10:30";19,99;2,99
"2016-05-16 17:10:38";7,99;2,99
"2016-05-23 17:10:40";19,99;2,99
"2016-06-23 21:12:24";5,99;2,99
"2016-07-04 17:49:26";19,99;2,99
"2016-07-18 17:10:58";7,99;2,99
"2016-07-25 17:10:20";13,99;2,99
"2016-08-01 17:14:12";19,99;2,99
"2016-10-10 17:11:18";9,99;2,99
"2016-10-17 17:23:02";19,99;2,99
"2016-10-28 18:26:26";6,79;2,99
"2016-11-02 08:45:01";19,99;2,99
"2016-11-23 20:05:51";4,99;2,99
"2016-11-30 15:11:37";19,99;2,99
"2016-12-22 19:41:40";4,99;2,99
"2017-01-02 18:21:10";19,99;2,99
"2017-04-28 08:20:38";4,99;2,99
"2017-04-29 06:25:29";19,99;2,99
"2017-05-11 17:00:38";4,99;2,99
"2017-05-15 17:10:42";19,99;2,99
"2017-06-22 21:03:26";4,99;2,99
"2017-07-05 19:50:49";19,99;2,99
"2017-07-11 14:10:18";4,99;2,99
"2017-07-19 14:10:22";19,99;2,99
"2017-10-26 21:14:27";4,99;2,99
"2017-11-01 17:31:07";19,99;2,99
"2017-11-22 18:34:51";4,99;2,99
"2017-11-28 18:28:02";19,99;2,99
"2017-12-21 18:58:46";4,99;2,99
"2018-01-04 18:38:06";19,99;2,99
"2018-01-15 18:10:39";4,99;2,99
"2018-01-22 18:10:42";19,99;2,99
"2018-02-15 18:26:39";4,99;2,99
"2018-02-19 18:33:42";19,99;2,99
"2018-05-14 17:10:39";4,99;2,99
"2018-05-21 17:10:50";19,99;2,99
"2018-06-22 00:11:59";4,99;2,99
"2018-07-05 17:36:35";19,99;2,99
"2018-07-16 17:10:56";4,99;2,99
"2018-07-23 17:10:49";19,99;2,99
"2018-09-17 21:23:05";4,99;2,99
